Using all features
below threshold:  319  above:  350
train_data_percent,test_data_percent,train_instance_count,,clf_train_acc,clf_test_acc,base_train_acc,base_test_acc
0.02,0.98,10,,0.6,0.428571428571,0.7,0.452380952381
0.025,0.975,12,,0.833333333333,0.60119047619,0.5,0.565476190476
0.03,0.97,15,,0.6,0.583333333333,0.466666666667,0.517857142857
0.035,0.965,17,,0.529411764706,0.571428571429,0.411764705882,0.517857142857
0.04,0.96,20,,0.55,0.428571428571,0.7,0.458333333333
0.045,0.955,22,,0.590909090909,0.428571428571,0.727272727273,0.5
0.05,0.95,25,,0.64,0.428571428571,0.48,0.494047619048
0.055,0.945,27,,0.62962962963,0.428571428571,0.481481481481,0.488095238095
0.06,0.94,30,,0.633333333333,0.428571428571,0.433333333333,0.470238095238
0.065,0.935,32,,0.65625,0.428571428571,0.46875,0.517857142857
0.07,0.93,35,,0.685714285714,0.428571428571,0.485714285714,0.541666666667
0.075,0.925,37,,0.648648648649,0.428571428571,0.486486486486,0.511904761905
0.08,0.92,40,,0.6,0.428571428571,0.575,0.535714285714
0.085,0.915,42,,0.619047619048,0.428571428571,0.452380952381,0.583333333333
0.09,0.91,45,,0.622222222222,0.428571428571,0.488888888889,0.464285714286
0.095,0.905,47,,0.617021276596,0.428571428571,0.595744680851,0.529761904762
0.1,0.9,50,,0.58,0.428571428571,0.54,0.494047619048
0.105,0.895,52,,0.596153846154,0.428571428571,0.519230769231,0.52380952381
0.11,0.89,55,,0.618181818182,0.452380952381,0.509090909091,0.571428571429
0.115,0.885,57,,0.614035087719,0.428571428571,0.561403508772,0.535714285714
0.12,0.88,60,,0.65,0.464285714286,0.483333333333,0.553571428571
0.125,0.875,62,,0.645161290323,0.60119047619,0.629032258065,0.52380952381
0.13,0.87,65,,0.661538461538,0.60119047619,0.4,0.386904761905
0.135,0.865,67,,0.65671641791,0.589285714286,0.507462686567,0.52380952381
0.14,0.86,70,,0.628571428571,0.458333333333,0.585714285714,0.458333333333
0.145,0.855,72,,0.666666666667,0.571428571429,0.625,0.52380952381
0.15,0.85,75,,0.653333333333,0.589285714286,0.413333333333,0.517857142857
0.155,0.845,77,,0.675324675325,0.636904761905,0.441558441558,0.541666666667
0.16,0.84,80,,0.675,0.636904761905,0.4,0.488095238095
0.165,0.835,82,,0.658536585366,0.607142857143,0.475609756098,0.5
0.17,0.83,85,,0.647058823529,0.607142857143,0.447058823529,0.428571428571
0.175,0.825,87,,0.632183908046,0.619047619048,0.505747126437,0.494047619048
0.18,0.82,90,,0.644444444444,0.654761904762,0.488888888889,0.505952380952
0.185,0.815,92,,0.641304347826,0.636904761905,0.489130434783,0.47619047619
0.19,0.81,95,,0.663157894737,0.625,0.526315789474,0.5
0.195,0.805,97,,0.680412371134,0.654761904762,0.381443298969,0.482142857143
